interval,date,boro_nm,category,call_count
daily,2024-02-12,Bronx,Confirmed Crime,500
daily,2024-02-12,Bronx,Potential Crime,625
daily,2024-02-12,Brooklyn,Confirmed Crime,610
daily,2024-02-12,Brooklyn,Potential Crime,844
daily,2024-02-12,Manhattan,Confirmed Crime,570
daily,2024-02-12,Manhattan,Potential Crime,679
daily,2024-02-12,Queens,Confirmed Crime,509
daily,2024-02-12,Queens,Potential Crime,618
daily,2024-02-12,Staten Island,Confirmed Crime,87
daily,2024-02-12,Staten Island,Potential Crime,125
daily,2024-02-13,Bronx,Confirmed Crime,372
daily,2024-02-13,Bronx,Potential Crime,529
daily,2024-02-13,Brooklyn,Confirmed Crime,556
daily,2024-02-13,Brooklyn,Potential Crime,819
daily,2024-02-13,Manhattan,Confirmed Crime,475
daily,2024-02-13,Manhattan,Potential Crime,631
daily,2024-02-13,Queens,Confirmed Crime,393
daily,2024-02-13,Queens,Potential Crime,588
daily,2024-02-13,Staten Island,Confirmed Crime,62
daily,2024-02-13,Staten Island,Potential Crime,135
daily,2024-02-14,Bronx,Confirmed Crime,466
daily,2024-02-14,Bronx,Potential Crime,593
daily,2024-02-14,Brooklyn,Confirmed Crime,565
daily,2024-02-14,Brooklyn,Potential Crime,914
daily,2024-02-14,Manhattan,Confirmed Crime,535
daily,2024-02-14,Manhattan,Potential Crime,682
daily,2024-02-14,Queens,Confirmed Crime,419
daily,2024-02-14,Queens,Potential Crime,737
daily,2024-02-14,Staten Island,Confirmed Crime,55
daily,2024-02-14,Staten Island,Potential Crime,144
daily,2024-02-15,Bronx,Confirmed Crime,462
daily,2024-02-15,Bronx,Potential Crime,554
daily,2024-02-15,Brooklyn,Confirmed Crime,608
daily,2024-02-15,Brooklyn,Potential Crime,1050
daily,2024-02-15,Manhattan,Confirmed Crime,500
daily,2024-02-15,Manhattan,Potential Crime,784
daily,2024-02-15,Queens,Confirmed Crime,484
daily,2024-02-15,Queens,Potential Crime,784
daily,2024-02-15,Staten Island,Confirmed Crime,57
daily,2024-02-15,Staten Island,Potential Crime,145
daily,2024-02-16,Bronx,Confirmed Crime,477
daily,2024-02-16,Bronx,Potential Crime,583
daily,2024-02-16,Brooklyn,Confirmed Crime,637
daily,2024-02-16,Brooklyn,Potential Crime,1018
daily,2024-02-16,Manhattan,Confirmed Crime,555
daily,2024-02-16,Manhattan,Potential Crime,788
daily,2024-02-16,Queens,Confirmed Crime,503
daily,2024-02-16,Queens,Potential Crime,746
daily,2024-02-16,Staten Island,Confirmed Crime,67
daily,2024-02-16,Staten Island,Potential Crime,142
daily,2024-02-17,Bronx,Confirmed Crime,413
daily,2024-02-17,Bronx,Potential Crime,626
daily,2024-02-17,Brooklyn,Confirmed Crime,533
daily,2024-02-17,Brooklyn,Potential Crime,861
daily,2024-02-17,Manhattan,Confirmed Crime,540
daily,2024-02-17,Manhattan,Potential Crime,747
daily,2024-02-17,Queens,Confirmed Crime,471
daily,2024-02-17,Queens,Potential Crime,766
daily,2024-02-17,Staten Island,Confirmed Crime,66
daily,2024-02-17,Staten Island,Potential Crime,115
daily,2024-02-18,Bronx,Confirmed Crime,432
daily,2024-02-18,Bronx,Potential Crime,668
daily,2024-02-18,Brooklyn,Confirmed Crime,512
daily,2024-02-18,Brooklyn,Potential Crime,985
daily,2024-02-18,Manhattan,Confirmed Crime,495
daily,2024-02-18,Manhattan,Potential Crime,754
daily,2024-02-18,Queens,Confirmed Crime,445
daily,2024-02-18,Queens,Potential Crime,728
daily,2024-02-18,Staten Island,Confirmed Crime,58
daily,2024-02-18,Staten Island,Potential Crime,122
daily,2024-02-19,Bronx,Confirmed Crime,445
daily,2024-02-19,Bronx,Potential Crime,635
daily,2024-02-19,Brooklyn,Confirmed Crime,561
daily,2024-02-19,Brooklyn,Potential Crime,914
daily,2024-02-19,Manhattan,Confirmed Crime,543
daily,2024-02-19,Manhattan,Potential Crime,703
daily,2024-02-19,Queens,Confirmed Crime,431
daily,2024-02-19,Queens,Potential Crime,677
